Name,YT Scope Project,
File,C:\Users\Banan\mas247\mas247_olje\StepResponsePlot.csv,
Starttime of export,133437580216110000,Monday, November 6, 2023,16:27:01.611
Endtime of export,133437583732510000,Monday, November 6, 2023,16:32:53.251


Name,Level_Transmitter_2,Name,Pressure_Differencial_Transmitter_1
SymbolComment,,SymbolComment,
Data-Type,INT16,Data-Type,INT16
SampleTime[ms],10,SampleTime[ms],10
VariableSize,2,VariableSize,2
SymbolBased,True,SymbolBased,True
IndexGroup,61472,IndexGroup,61472
IndexOffset,385156,IndexOffset,385160
SymbolName,MAIN.Level_Transmitter_2,SymbolName,MAIN.Pressure_Differencial_Transmitter_1
NetID,5.112.67.239.1.1,NetID,5.112.67.239.1.1
Port,851,Port,851
Offset,0,Offset,0
ScaleFactor,1,ScaleFactor,1
BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff
Unit,(None),Unit,(None)
Unit ScaleFactor,1,Unit ScaleFactor,1
Unit Offset,0,Unit Offset,0

4310,0,4310,2698
4320,0,4320,2698
4330,0,4330,2701
4340,0,4340,2699
4350,0,4350,2694
4360,0,4360,2695
4370,0,4370,2695
4380,0,4380,2691
4390,0,4390,2690
4400,0,4400,2694
4410,0,4410,2698
4420,0,4420,2698
4430,0,4430,2699
4440,0,4440,2698
4450,0,4450,2698
4460,0,4460,2698
4470,0,4470,2697
4480,0,4480,2697
4490,0,4490,2699
4500,0,4500,2701
4510,0,4510,2698
4520,0,4520,2694
4530,0,4530,2697
4540,0,4540,2695
4550,0,4550,2695
4560,0,4560,2699
4570,0,4570,2698
4580,0,4580,2694
4590,0,4590,2694
4600,0,4600,2698
4610,0,4610,2698
4620,0,4620,2697
4630,0,4630,2697
4640,0,4640,2694
4650,0,4650,2695
4660,0,4660,2698
4670,0,4670,2698
4680,0,4680,2695
4690,0,4690,2698
4700,0,4700,2697
4710,0,4710,2691
4720,0,4720,2695
4730,0,4730,2697
4740,0,4740,2699
4750,0,4750,2701
4760,0,4760,2698
4770,0,4770,2701
4780,0,4780,2699
4790,0,4790,2695
4800,0,4800,2697
4810,0,4810,2698
4820,0,4820,2695
4830,0,4830,2695
4840,0,4840,2698
4850,0,4850,2699
4860,0,4860,2702
4870,0,4870,2701
4880,0,4880,2697
4890,0,4890,2695
4900,0,4900,2691
4910,0,4910,2691
4920,0,4920,2694
4930,0,4930,2697
4940,0,4940,2695
4950,0,4950,2695
4960,0,4960,2699
4970,0,4970,2698
4980,0,4980,2694
4990,0,4990,2694
5000,0,5000,2694
5010,0,5010,2695
5020,0,5020,2697
5030,0,5030,2693
5040,0,5040,2691
5050,0,5050,2693
5060,0,5060,2693
5070,0,5070,2697
5080,0,5080,2695
5090,0,5090,2693
5100,0,5100,2693
5110,0,5110,2694
5120,0,5120,2697
5130,0,5130,2697
5140,0,5140,2691
5150,0,5150,2691
5160,0,5160,2697
5170,0,5170,2697
5180,0,5180,2695
5190,0,5190,2695
5200,0,5200,2698
5210,0,5210,2695
5220,0,5220,2694
5230,0,5230,2695
5240,0,5240,2691
5250,0,5250,2689
5260,0,5260,2693
5270,0,5270,2694
5280,0,5280,2691
5290,0,5290,2691
5300,0,5300,2697
5310,0,5310,2694
5320,0,5320,2687
5330,0,5330,2690
5340,0,5340,2694
5350,0,5350,2690
5360,0,5360,2690
5370,0,5370,2694
5380,0,5380,2689
5390,0,5390,2686
5400,0,5400,2686
5410,0,5410,2687
5420,0,5420,2693
5430,0,5430,2693
5440,0,5440,2694
5450,0,5450,2695
5460,0,5460,2693
5470,0,5470,2691
5480,0,5480,2691
5490,0,5490,2693
5500,0,5500,2695
5510,0,5510,2695
5520,0,5520,2693
5530,0,5530,2691
5540,0,5540,2691
5550,0,5550,2691
5560,0,5560,2687
5570,0,5570,2685
5580,0,5580,2691
5590,0,5590,2694
5600,0,5600,2689
5610,0,5610,2687
5620,0,5620,2689
5630,0,5630,2691
5640,0,5640,2691
5650,0,5650,2687
5660,0,5660,2687
5670,0,5670,2693
5680,0,5680,2689
5690,0,5690,2690
5700,0,5700,2695
5710,0,5710,2694
5720,0,5720,2693
5730,0,5730,2693
5740,0,5740,2689
5750,0,5750,2689
5760,0,5760,2690
5770,0,5770,2686
5780,0,5780,2687
5790,0,5790,2691
5800,0,5800,2694
5810,0,5810,2691
5820,0,5820,2687
5830,0,5830,2689
5840,0,5840,2690
5850,0,5850,2689
5860,0,5860,2686
5870,0,5870,2685
5880,0,5880,2689
5890,0,5890,2689
5900,0,5900,2683
5910,0,5910,2689
5920,0,5920,2693
5930,0,5930,2683
5940,0,5940,2687
5950,0,5950,2690
5960,0,5960,2685
5970,0,5970,2685
5980,0,5980,2691
5990,0,5990,2694
6000,0,6000,2689
6010,0,6010,2687
6020,0,6020,2685
6030,0,6030,2685
6040,0,6040,2690
6050,0,6050,2690
6060,0,6060,2689
6070,0,6070,2690
6080,0,6080,2687
6090,0,6090,2686
6100,0,6100,2690
6110,0,6110,2686
6120,0,6120,2689
6130,0,6130,2691
6140,0,6140,2687
6150,0,6150,2689
6160,0,6160,2686
6170,0,6170,2691
6180,0,6180,2694
6190,0,6190,2690
6200,0,6200,2691
6210,0,6210,2694
6220,0,6220,2691
6230,0,6230,2687
6240,0,6240,2689
6250,0,6250,2689
6260,0,6260,2691
6270,0,6270,2691
6280,0,6280,2689
6290,0,6290,2693
6300,0,6300,2691
6310,0,6310,2687
6320,0,6320,2686
6330,0,6330,2689
6340,0,6340,2693
6350,0,6350,2693
6360,0,6360,2691
6370,0,6370,2691
6380,0,6380,2690
6390,0,6390,2687
6400,0,6400,2689
6410,0,6410,2690
6420,0,6420,2687
6430,0,6430,2689
6440,0,6440,2689
6450,0,6450,2689
6460,0,6460,2690
6470,0,6470,2686
6480,0,6480,2689
6490,0,6490,2690
6500,0,6500,2687
6510,0,6510,2690
6520,0,6520,2689
6530,0,6530,2690
6540,0,6540,2691
6550,0,6550,2686
6560,0,6560,2686
6570,0,6570,2689
6580,0,6580,2687
6590,0,6590,2687
6600,0,6600,2687
6610,0,6610,2687
6620,0,6620,2687
6630,0,6630,2689
6640,0,6640,2691
6650,0,6650,2693
6660,0,6660,2693
6670,0,6670,2693
6680,0,6680,2690
6690,0,6690,2685
6700,0,6700,2686
6710,0,6710,2687
6720,0,6720,2686
6730,0,6730,2689
6740,0,6740,2685
6750,0,6750,2686
6760,0,6760,2693
6770,0,6770,2694
6780,0,6780,2690
6790,0,6790,2687
6800,0,6800,2687
6810,0,6810,2686
6820,0,6820,2685
6830,0,6830,2686
6840,0,6840,2689
6850,0,6850,2689
6860,0,6860,2686
6870,0,6870,2685
6880,0,6880,2686
6890,0,6890,2689
6900,0,6900,2690
6910,0,6910,2691
6920,0,6920,2691
6930,0,6930,2689
6940,0,6940,2686
6950,0,6950,2685
6960,0,6960,2686
6970,0,6970,2690
6980,0,6980,2691
6990,0,6990,2691
7000,0,7000,2694
7010,0,7010,2690
7020,0,7020,2689
7030,0,7030,2689
7040,0,7040,2687
7050,0,7050,2689
7060,0,7060,2687
7070,0,7070,2687
7080,0,7080,2690
7090,0,7090,2687
7100,0,7100,2683
7110,0,7110,2691
7120,0,7120,2690
7130,0,7130,2687
7140,0,7140,2690
7150,0,7150,2690
7160,0,7160,2691
7170,0,7170,2691
7180,0,7180,2689
7190,0,7190,2687
7200,0,7200,2687
7210,0,7210,2687
7220,0,7220,2689
7230,0,7230,2689
7240,0,7240,2690
7250,0,7250,2690
7260,0,7260,2687
7270,0,7270,2686
7280,0,7280,2683
7290,0,7290,2687
7300,0,7300,2690
7310,0,7310,2685
7320,0,7320,2687
7330,0,7330,2690
7340,0,7340,2687
7350,0,7350,2687
7360,0,7360,2689
7370,0,7370,2689
7380,0,7380,2685
7390,0,7390,2687
7400,0,7400,2689
7410,0,7410,2686
7420,0,7420,2686
7430,0,7430,2690
7440,0,7440,2690
7450,0,7450,2690
7460,0,7460,2689
7470,0,7470,2685
7480,0,7480,2685
7490,0,7490,2687
7500,0,7500,2683
7510,0,7510,2681
7520,0,7520,2687
7530,0,7530,2689
7540,0,7540,2685
7550,0,7550,2687
7560,0,7560,2689
7570,0,7570,2693
7580,0,7580,2691
7590,0,7590,2683
7600,0,7600,2685
7610,0,7610,2686
7620,0,7620,2689
7630,0,7630,2690
7640,0,7640,2690
7650,0,7650,2690
7660,0,7660,2686
7670,0,7670,2683
7680,0,7680,2685
7690,0,7690,2687
7700,0,7700,2687
7710,0,7710,2686
7720,0,7720,2687
7730,0,7730,2687
7740,0,7740,2686
7750,0,7750,2682
7760,0,7760,2685
7770,0,7770,2686
7780,0,7780,2683
7790,0,7790,2687
7800,0,7800,2686
7810,0,7810,2685
7820,0,7820,2689
7830,0,7830,2687
7840,0,7840,2685
7850,0,7850,2683
7860,0,7860,2686
7870,0,7870,2690
7880,0,7880,2687
7890,0,7890,2689
7900,0,7900,2686
7910,0,7910,2683
7920,0,7920,2687
7930,0,7930,2687
7940,0,7940,2685
7950,0,7950,2682
7960,0,7960,2686
7970,0,7970,2683
7980,0,7980,2682
7990,0,7990,2686
8000,0,8000,2687
8010,0,8010,2687
8020,0,8020,2687
8030,0,8030,2690
8040,0,8040,2689
8050,0,8050,2687
8060,0,8060,2686
8070,0,8070,2687
8080,0,8080,2686
8090,0,8090,2685
8100,0,8100,2685
8110,0,8110,2686
8120,0,8120,2685
8130,0,8130,2686
8140,0,8140,2687
8150,0,8150,2685
8160,0,8160,2686
8170,0,8170,2689
8180,0,8180,2687
8190,0,8190,2685
8200,0,8200,2683
8210,0,8210,2678
8220,0,8220,2679
8230,0,8230,2686
8240,0,8240,2686
8250,0,8250,2685
8260,0,8260,2686
8270,0,8270,2689
8280,0,8280,2687
8290,0,8290,2683
8300,0,8300,2681
8310,0,8310,2685
8320,0,8320,2686
8330,0,8330,2683
8340,0,8340,2683
8350,0,8350,2689
8360,0,8360,2689
8370,0,8370,2682
8380,0,8380,2685
8390,0,8390,2686
8400,0,8400,2683
8410,0,8410,2683
8420,0,8420,2682
8430,0,8430,2681
8440,0,8440,2685
8450,0,8450,2685
8460,0,8460,2681
8470,0,8470,2682
8480,0,8480,2683
8490,0,8490,2686
8500,0,8500,2685
8510,0,8510,2685
8520,0,8520,2689
8530,0,8530,2687
8540,0,8540,2686
8550,0,8550,2686
8560,0,8560,2681
8570,0,8570,2682
8580,0,8580,2685
8590,0,8590,2685
8600,0,8600,2683
8610,0,8610,2682
8620,0,8620,2687
8630,0,8630,2689
8640,0,8640,2683
8650,0,8650,2683
8660,0,8660,2686
8670,0,8670,2685
8680,0,8680,2686
8690,0,8690,2686
8700,0,8700,2682
8710,0,8710,2683
8720,0,8720,2683
