 Percentages	SymbolComment		SymbolComment		SymbolComment		SymbolComment		SymbolComment		SymbolComment		SymbolComment		SymbolComment	 Motor switch_
Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	INT16	Data-Type	BIT
SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	2	VariableSize	1
SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True
IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	61488
IndexOffset	482800	IndexOffset	482802	IndexOffset	482806	IndexOffset	482808	IndexOffset	482810	IndexOffset	482812	IndexOffset	482814	IndexOffset	482804	IndexOffset	385148
SymbolName	MAIN.LT1percent	SymbolName	MAIN.LT2percent	SymbolName	MAIN.PDT1percent	SymbolName	MAIN.PDT2percent	SymbolName	MAIN.PT1percent	SymbolName	MAIN.PT2percent	SymbolName	MAIN.PT3percent	SymbolName	MAIN.TT1percent	SymbolName	MAIN.Motor_ON_OFF
NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1
Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851
Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0

1100	133	1100	0	1100	1767	1100	0	1100	1239	1100	118	1100	0	1100	7248	1100	0
1110	134	1110	0	1110	1767	1110	0	1110	1239	1110	119	1110	0	1110	7244	1110	0
1120	138	1120	0	1120	1767	1120	0	1120	1243	1120	122	1120	0	1120	7241	1120	0
1130	140	1130	0	1130	1771	1130	0	1130	1244	1130	122	1130	0	1130	7245	1130	0
1140	133	1140	0	1140	1768	1140	0	1140	1239	1140	118	1140	0	1140	7243	1140	0
1150	129	1150	0	1150	1771	1150	0	1150	1240	1150	114	1150	0	1150	7240	1150	0
1160	131	1160	0	1160	1772	1160	0	1160	1244	1160	114	1160	0	1160	7241	1160	0
1170	131	1170	0	1170	1768	1170	0	1170	1240	1170	114	1170	0	1170	7237	1170	0
1180	134	1180	0	1180	1768	1180	0	1180	1239	1180	117	1180	0	1180	7238	1180	0
1190	138	1190	0	1190	1770	1190	0	1190	1241	1190	121	1190	0	1190	7237	1190	0
1200	135	1200	0	1200	1772	1200	0	1200	1237	1200	119	1200	0	1200	7240	1200	0
1210	134	1210	0	1210	1772	1210	0	1210	1236	1210	114	1210	0	1210	7243	1210	0
1220	133	1220	0	1220	1771	1220	0	1220	1243	1220	113	1220	0	1220	7243	1220	0
1230	130	1230	0	1230	1772	1230	0	1230	1245	1230	117	1230	0	1230	7244	1230	0
1240	134	1240	0	1240	1772	1240	0	1240	1243	1240	117	1240	0	1240	7247	1240	0
1250	135	1250	0	1250	1767	1250	0	1250	1241	1250	115	1250	0	1250	7244	1250	0
1260	129	1260	0	1260	1767	1260	0	1260	1240	1260	117	1260	0	1260	7245	1260	0
1270	131	1270	0	1270	1770	1270	0	1270	1239	1270	117	1270	0	1270	7244	1270	0
1280	135	1280	0	1280	1768	1280	0	1280	1237	1280	119	1280	0	1280	7237	1280	0
1290	134	1290	0	1290	1768	1290	0	1290	1239	1290	118	1290	0	1290	7237	1290	0
1300	131	1300	0	1300	1767	1300	0	1300	1241	1300	115	1300	0	1300	7241	1300	0
1310	131	1310	0	1310	1766	1310	0	1310	1243	1310	117	1310	0	1310	7245	1310	0
1320	137	1320	0	1320	1766	1320	0	1320	1240	1320	115	1320	0	1320	7244	1320	0
1330	140	1330	0	1330	1766	1330	0	1330	1243	1330	115	1330	0	1330	7241	1330	0
1340	137	1340	0	1340	1770	1340	0	1340	1241	1340	114	1340	0	1340	7244	1340	0
1350	130	1350	0	1350	1772	1350	0	1350	1239	1350	117	1350	0	1350	7244	1350	0
1360	123	1360	0	1360	1771	1360	0	1360	1239	1360	118	1360	0	1360	7245	1360	0
1370	133	1370	0	1370	1766	1370	0	1370	1241	1370	115	1370	0	1370	7245	1370	0
1380	137	1380	0	1380	1766	1380	0	1380	1241	1380	114	1380	0	1380	7241	1380	0
1390	134	1390	0	1390	1768	1390	0	1390	1239	1390	115	1390	0	1390	7236	1390	0
1400	135	1400	0	1400	1770	1400	0	1400	1244	1400	115	1400	0	1400	7234	1400	0
