SymbolName	MAIN.LT1mm	SymbolName	MAIN.LT2mm	SymbolName	MAIN.PDT1bar	SymbolName	MAIN.PDT2bar	SymbolName	MAIN.PT1bar	SymbolName	MAIN.PT2bar	SymbolName	MAIN.TT1c	SymbolName	MAIN.Motor_ON_OFF
NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1	NetID	5.112.67.239.1.1
Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851
Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0

1500	37.6959839	1500	42	1500	0.02522184	1500	0.004	1500	0.284787118	1500	0.0799407959	1500	16.3685989	1500	0
1510	37.7119255	1510	42	1510	0.0252460111	1510	0.004	1510	0.2842433	1510	0.07975951	1510	16.4235382	1510	0
1520	37.7172356	1520	42	1520	0.02519767	1520	0.004	1520	0.284787118	1520	0.07975951	1520	16.3594437	1520	0
1530	37.7331772	1530	42	1530	0.02519767	1530	0.004	1530	0.284605861	1530	0.08048463	1530	16.3319778	1530	0
1540	37.7438	1540	42	1540	0.0252460111	1540	0.004	1540	0.284787118	1540	0.08120975	1540	16.3319778	1540	0
1550	37.7172356	1550	42	1550	0.0252460111	1550	0.004	1550	0.2849684	1550	0.08139104	1550	16.2953568	1550	0
1560	37.7278633	1560	42	1560	0.0252097547	1560	0.004	1560	0.2842433	1560	0.0799407959	1560	16.2862015	1560	0
1570	37.7119255	1570	42	1570	0.0251493286	1570	0.004	1570	0.2842433	1570	0.0792156756	1570	16.3136673	1570	0
1580	37.7172356	1580	42	1580	0.0251614135	1580	0.004	1580	0.284605861	1580	0.07939695	1580	16.3594437	1580	0
1590	37.7331772	1590	42	1590	0.02522184	1590	0.004	1590	0.2849684	1590	0.07975951	1590	16.3594437	1590	0
1600	37.7278633	1600	42	1600	0.0252460111	1600	0.004	1600	0.285330981	1600	0.0799407959	1600	16.3594437	1600	0
1610	37.7119255	1610	42	1610	0.02527018	1610	0.004	1610	0.2849684	1610	0.08048463	1610	16.3594437	1610	0
1620	37.7172356	1620	42	1620	0.0253185239	1620	0.004	1620	0.2849684	1620	0.08084719	1620	16.3319778	1620	0
1630	37.7331772	1630	42	1630	0.0253064372	1630	0.004	1630	0.284787118	1630	0.08048463	1630	16.3319778	1630	0
1640	37.7172356	1640	42	1640	0.02527018	1640	0.004	1640	0.2849684	1640	0.0799407959	1640	16.3502884	1640	0
1650	37.7278633	1650	42	1650	0.0252943523	1650	0.004	1650	0.2849684	1650	0.08048463	1650	16.3502884	1650	0
1660	37.7331772	1660	42	1660	0.0253185239	1660	0.004	1660	0.284605861	1660	0.0806659162	1660	16.3502884	1660	0
1670	37.7119255	1670	42	1670	0.02527018	1670	0.004	1670	0.2842433	1670	0.0799407959	1670	16.3228226	1670	0
1680	37.70661	1680	42	1680	0.0252097547	1680	0.004	1680	0.2849684	1680	0.0799407959	1680	16.3319778	1680	0
1690	37.7172356	1690	42	1690	0.0252580959	1690	0.004	1690	0.285512239	1690	0.08048463	1690	16.3869171	1690	0
1700	37.7172356	1700	42	1700	0.0253064372	1700	0.004	1700	0.285512239	1700	0.0806659162	1700	16.3502884	1700	0
1710	37.6906738	1710	42	1710	0.02527018	1710	0.004	1710	0.2849684	1710	0.08084719	1710	16.3502884	1710	0
